企業名,証券コード,EDINETコード,docID,帳簿価額（元単位）,時価（元単位）,含み益（元単位）,元単位,ソースファイル,注記,帳簿価額_百万円,時価_百万円,含み益_百万円
三菱地所株式会社,8802,E03856,S100VYRJ,4787915.0,9833537.0,5045622.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03856-000_2025-03-31_01_2025-06-25_ixbrl.htm,,4787915.0,9833537.0,5045622.0
住友不動産株式会社,8830,E03907,S100W6AG,4430791.0,8625626.0,4194835.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03907-000_2025-03-31_01_2025-06-26_ixbrl.htm,開示なし,4430791.0,8625626.0,4194835.0
三井不動産株式会社,8801,E03855,S100VWQS,3807255.0,7492787.0,3685532.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03855-000_2025-03-31_01_2025-06-25_ixbrl.htm,,3807255.0,7492787.0,3685532.0
東日本旅客鉄道株式会社,9020,E04147,S100VYOS,1054579.0,2861144.0,1806565.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04147-000_2025-03-31_01_2025-06-18_ixbrl.htm,,1054579.0,2861144.0,1806565.0
日本電信電話株式会社,9432,E04430,S100W1FL,1341188.0,2816219.0,1475031.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04430-000_2025-03-31_01_2025-06-20_ixbrl.htm,,1341188.0,2816219.0,1475031.0
株式会社三井住友フィナンシャルグループ,8316,E03614,S100W0S7,9353590.0,10174894.0,821304.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03614-000_2025-03-31_01_2025-06-20_ixbrl.htm,,9353590.0,10174894.0,821304.0
東急株式会社,9005,E04090,S100W6EI,578655.0,1345771.0,767116.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04090-000_2025-03-31_01_2025-06-27_ixbrl.htm,,578655.0,1345771.0,767116.0
阪急阪神ホールディングス株式会社,9042,E04103,S100VXO3,891108.0,1595244.0,704136.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04103-000_2025-03-31_01_2025-06-16_ixbrl.htm,,891108.0,1595244.0,704136.0
日本郵政株式会社,6178,E31748,S100W03W,886240.0,1509190.0,622950.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E31748-000_2025-03-31_01_2025-06-19_ixbrl.htm,,886240.0,1509190.0,622950.0
イオン株式会社,8267,E03061,S100VTF8,1465637.0,2065465.0,599828.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03061-000_2025-02-28_01_2025-05-29_ixbrl.htm,,1465637.0,2065465.0,599828.0
西日本旅客鉄道株式会社,9021,E04148,S100VYFN,455651.0,990938.0,535287.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04148-000_2025-03-31_01_2025-06-16_ixbrl.htm,,455651.0,990938.0,535287.0
東宝株式会社,9602,E04583,S100VTOG,189403.0,663996.0,474593.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04583-000_2025-02-28_01_2025-05-29_ixbrl.htm,,189403.0,663996.0,474593.0
東京瓦斯株式会社,9531,E04514,S100W10L,138910.0,595403.0,456493.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04514-000_2025-03-31_01_2025-06-24_ixbrl.htm,,138910.0,595403.0,456493.0
第一生命ホールディングス株式会社,8750,E06141,S100VZZW,924722.0,1365464.0,440742.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E06141-000_2025-03-31_01_2025-06-19_ixbrl.htm,,924722.0,1365464.0,440742.0
東急不動産ホールディングス株式会社,3289,E27633,S100W5WX,749518.0,1182608.0,433090.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E27633-000_2025-03-31_01_2025-06-25_ixbrl.htm,,749518.0,1182608.0,433090.0
野村不動産ホールディングス株式会社,3231,E04060,S100W3XD,24953.0,448445.0,423492.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04060-000_2025-03-31_01_2025-06-25_ixbrl.htm,,24953.0,448445.0,423492.0
みずほリース株式会社,8425,E05426,S100W17L,404256.0,732137.0,327881.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E05426-000_2025-03-31_01_2025-06-20_ixbrl.htm,,404256.0,732137.0,327881.0
大和ハウス工業株式会社,1925,E00048,S100VZ3Z,1280086.0,1579219.0,299133.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00048-000_2025-03-31_01_2025-06-20_ixbrl.htm,,1280086.0,1579219.0,299133.0
コムシスホールディングス株式会社,1721,E00322,S100W2MR,276910.0,569307.0,292397.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00322-000_2025-03-31_01_2025-06-25_ixbrl.htm,,276910.0,569307.0,292397.0
鹿島建設株式会社,1812,E00058,S100W14C,343766.0,623644.0,279878.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00058-000_2025-03-31_01_2025-06-25_ixbrl.htm,,343766.0,623644.0,279878.0
株式会社　商船三井,9104,E04236,S100W1NC,458709.0,731951.0,273242.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04236-000_2025-03-31_01_2025-06-23_ixbrl.htm,,458709.0,731951.0,273242.0
三菱倉庫株式会社,9301,E04283,S100W207,143093.0,415486.0,272393.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04283-000_2025-03-31_01_2025-06-25_ixbrl.htm,,143093.0,415486.0,272393.0
株式会社ＴＢＳホールディングス,9401,E04375,S100W67H,71627.0,342615.0,270988.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04375-000_2025-03-31_01_2025-06-26_ixbrl.htm,,71627.0,342615.0,270988.0
日本空港ビルデング株式会社,9706,E03863,S100W719,234325.0,492752.0,258427.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03863-000_2025-03-31_01_2025-06-26_ixbrl.htm,,234325.0,492752.0,258427.0
京浜急行電鉄株式会社,9006,E04089,S100W4LL,115644.0,359401.0,243757.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04089-000_2025-03-31_01_2025-06-26_ixbrl.htm,,115644.0,359401.0,243757.0
九州旅客鉄道株式会社,9142,E32679,S100VUGL,350265.0,589640.0,239375.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E32679-000_2025-03-31_01_2025-06-18_ixbrl.htm,,350265.0,589640.0,239375.0
株式会社大林組,1802,E00055,S100W0FJ,527647.0,760786.0,233139.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00055-000_2025-03-31_01_2025-06-19_ixbrl.htm,,527647.0,760786.0,233139.0
関西電力株式会社,9503,E04499,S100W38I,420677.0,640123.0,219446.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04499-000_2025-03-31_01_2025-06-25_ixbrl.htm,,420677.0,640123.0,219446.0
京阪ホールディングス株式会社,9045,E04105,S100VYHN,167346.0,346555.0,179209.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04105-000_2025-03-31_01_2025-06-17_ixbrl.htm,,167346.0,346555.0,179209.0
株式会社　丸井グループ,8252,E03040,S100W1HA,127995.0,299739.0,171744.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03040-000_2025-03-31_01_2025-06-23_ixbrl.htm,,127995.0,299739.0,171744.0
相鉄ホールディングス株式会社,9003,E04097,S100W0XK,299008.0,469676.0,170668.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04097-000_2025-03-31_01_2025-06-25_ixbrl.htm,,299008.0,469676.0,170668.0
スギホールディングス株式会社,7649,E03344,S100VU25,581490.0,744477.0,162987.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03344-000_2025-02-28_01_2025-05-28_ixbrl.htm,,581490.0,744477.0,162987.0
清水建設株式会社,1803,E00053,S100W7C5,364242.0,520196.0,155954.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00053-000_2025-03-31_01_2025-06-27_ixbrl.htm,,364242.0,520196.0,155954.0
大阪瓦斯株式会社,9532,E04520,S100W0XR,219012.0,352517.0,133505.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04520-000_2025-03-31_01_2025-06-23_ixbrl.htm,,219012.0,352517.0,133505.0
株式会社Ｔ＆Ｄホールディングス,8795,E03851,S100VXGU,276660.0,408848.0,132188.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03851-000_2025-03-31_01_2025-06-12_ixbrl.htm,,276660.0,408848.0,132188.0
株式会社髙島屋,8233,E03013,S100VSA5,599785.0,726647.0,126862.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03013-000_2025-02-28_01_2025-05-22_ixbrl.htm,,599785.0,726647.0,126862.0
株式会社テーオーシー,8841,E00926,S100W5EP,57888.0,184369.0,126481.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00926-000_2025-03-31_01_2025-06-26_ixbrl.htm,,57888.0,184369.0,126481.0
株式会社安楽亭,7562,E03295,S100W8N6,345743.0,471668.0,125925.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03295-000_2025-03-31_01_2025-06-30_ixbrl.htm,,345743.0,471668.0,125925.0
南海電気鉄道株式会社,9044,E04106,S100VY49,372603.0,495182.0,122579.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04106-000_2025-03-31_01_2025-06-17_ixbrl.htm,,372603.0,495182.0,122579.0
ヒューリック株式会社,3003,E00523,S100VEQB,149583.0,268056.0,118473.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00523-000_2024-12-31_01_2025-03-18_ixbrl.htm,,149583.0,268056.0,118473.0
京王電鉄株式会社,9008,E04092,S100W3HD,182280.0,299491.0,117211.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04092-000_2025-03-31_01_2025-06-24_ixbrl.htm,,182280.0,299491.0,117211.0
飯野海運株式会社,9119,E04243,S100W0HT,88109.0,196536.0,108427.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04243-000_2025-03-31_01_2025-06-25_ixbrl.htm,,88109.0,196536.0,108427.0
マブチモーター株式会社,6592,E01944,S100VJ78,359259.0,465461.0,106202.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01944-000_2024-12-31_01_2025-03-31_ixbrl.htm,,359259.0,465461.0,106202.0
片倉工業株式会社,3001,E00524,S100VHF8,27266.0,132215.0,104949.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00524-000_2024-12-31_01_2025-03-28_ixbrl.htm,,27266.0,132215.0,104949.0
積水ハウス株式会社,1928,E00143,S100VN43,377931.0,480298.0,102367.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00143-000_2025-01-31_01_2025-04-22_ixbrl.htm,,377931.0,480298.0,102367.0
西日本鉄道株式会社,9031,E04110,S100W6IJ,116823.0,218998.0,102175.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04110-000_2025-03-31_01_2025-06-26_ixbrl.htm,,116823.0,218998.0,102175.0
東武鉄道株式会社,9001,E04094,S100VXA3,160404.0,257055.0,96651.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04094-000_2025-03-31_01_2025-06-24_ixbrl.htm,,160404.0,257055.0,96651.0
楽天銀行株式会社,5838,E03621,S100W2TC,42849.0,137950.0,95101.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03621-000_2025-03-31_01_2025-06-23_ixbrl.htm,,42849.0,137950.0,95101.0
三井倉庫ホールディングス株式会社,9302,E04284,S100W15N,28093.0,122783.0,94690.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04284-000_2025-03-31_01_2025-06-23_ixbrl.htm,,28093.0,122783.0,94690.0
京成電鉄株式会社,9009,E04091,S100W81A,184221.0,277985.0,93764.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04091-000_2025-03-31_01_2025-06-27_ixbrl.htm,,184221.0,277985.0,93764.0
サンケン電気株式会社,6707,E01790,S100W51U,141536.0,235221.0,93685.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E01790-000_2025-03-31_01_2025-06-26_ixbrl.htm,,141536.0,235221.0,93685.0
京阪神ビルディング株式会社,8818,E03867,S100VZIE,136904371.0,230577626.0,93673255.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03867-000_2025-03-31_01_2025-06-20_ixbrl.htm,,136904.371,230577.62600000002,93673.255
イオンモール株式会社,8905,E04002,S100VT6A,1688554.0,1781427.0,92873.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04002-000_2025-02-28_01_2025-05-23_ixbrl.htm,,1688554.0,1781427.0,92873.0
大東建託株式会社,1878,E00218,S100W3QM,50357.0,136568.0,86211.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00218-000_2025-03-31_01_2025-06-25_ixbrl.htm,,50357.0,136568.0,86211.0
松竹株式会社,9601,E04582,S100VU5K,75733.0,160997.0,85264.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04582-000_2025-02-28_01_2025-05-28_ixbrl.htm,,75733.0,160997.0,85264.0
オリックス株式会社,8591,E04762,S100W3GQ,388415.0,471735.0,83320.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04762-000_2025-03-31_01_2025-06-24_ixbrl.htm,,388415.0,471735.0,83320.0
株式会社　巴コーポレーション,1921,E01394,S100W7IR,11756471.0,92305900.0,80549429.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01394-000_2025-03-31_01_2025-06-27_ixbrl.htm,,11756.471,92305.90000000001,80549.429
株式会社三越伊勢丹ホールディングス,3099,E03521,S100W16O,116071.0,196474.0,80403.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03521-000_2025-03-31_01_2025-06-20_ixbrl.htm,,116071.0,196474.0,80403.0
日本毛織株式会社,3201,E00552,S100XLV8,14806.0,92245.0,77439.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00552-000_2025-11-30_01_2026-02-20_ixbrl.htm,,14806.0,92245.0,77439.0
東京地下鉄株式会社,9023,E04153,S100W3LV,75366.0,152789.0,77423.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04153-000_2025-03-31_01_2025-06-24_ixbrl.htm,,75366.0,152789.0,77423.0
乾汽船株式会社,9308,E04288,S100VYWI,12551.0,89281.0,76730.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04288-000_2025-03-31_01_2025-06-19_ixbrl.htm,,12551.0,89281.0,76730.0
東京海上ホールディングス株式会社,8766,E03847,S100VZFR,188212.0,264586.0,76374.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03847-000_2025-03-31_01_2025-06-19_ixbrl.htm,,188212.0,264586.0,76374.0
株式会社フジクラ,5803,E01334,S100W6LJ,38847.0,114121.0,75274.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01334-000_2025-03-31_01_2025-06-26_ixbrl.htm,,38847.0,114121.0,75274.0
太平洋セメント株式会社,5233,E01130,S100W47L,51073.0,126244.0,75171.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E01130-000_2025-03-31_01_2025-06-26_ixbrl.htm,,51073.0,126244.0,75171.0
株式会社フジ・メディア・ホールディングス,4676,E04462,S100W5GP,348054.0,422893.0,74839.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04462-000_2025-03-31_01_2025-06-26_ixbrl.htm,,348054.0,422893.0,74839.0
平和不動産株式会社,8803,E03858,S100W279,50826.0,124083.0,73257.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03858-000_2025-03-31_01_2025-06-23_ixbrl.htm,,50826.0,124083.0,73257.0
株式会社荏原製作所,6361,E01542,S100VHAM,7267.0,77753.0,70486.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E01542-000_2024-12-31_01_2025-03-27_ixbrl.htm,,7267.0,77753.0,70486.0
ガリレイ株式会社,6420,E02006,S100W2X9,46706.0,115815.0,69109.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02006-000_2025-03-31_01_2025-06-24_ixbrl.htm,,46706.0,115815.0,69109.0
株式会社住友倉庫,9303,E04285,S100W076,68444.0,136800.0,68356.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04285-000_2025-03-31_01_2025-06-25_ixbrl.htm,,68444.0,136800.0,68356.0
澁澤倉庫株式会社,9304,E04286,S100W4DX,24277.0,87094.0,62817.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04286-000_2025-03-31_01_2025-06-25_ixbrl.htm,,24277.0,87094.0,62817.0
住友金属鉱山株式会社,5713,E00023,S100W5I3,3477.0,63162.0,59685.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00023-000_2025-03-31_01_2025-06-25_ixbrl.htm,,3477.0,63162.0,59685.0
セントラル硝子株式会社,4044,E00769,S100W71V,100926.0,160339.0,59413.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00769-000_2025-03-31_01_2025-06-27_ixbrl.htm,,100926.0,160339.0,59413.0
セコム株式会社,9735,E04773,S100W3TS,106829.0,165889.0,59060.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04773-000_2025-03-31_01_2025-06-25_ixbrl.htm,,106829.0,165889.0,59060.0
日本紙パルプ商事株式会社,8032,E02510,S100W6SG,23313.0,79673.0,56360.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02510-000_2025-03-31_01_2025-06-27_ixbrl.htm,,23313.0,79673.0,56360.0
東京都競馬株式会社,9672,E04603,S100VHAT,51020673.0,107181728.0,56161055.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04603-000_2024-12-31_01_2025-03-26_ixbrl.htm,,51020.673,107181.728,56161.055
ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,8725,E03854,S100W0ZR,73861.0,125936.0,52075.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03854-000_2025-03-31_01_2025-06-20_ixbrl.htm,,73861.0,125936.0,52075.0
株式会社ポーラ・オルビスホールディングス,4927,E24951,S100VG9G,25935.0,77580.0,51645.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E24951-000_2024-12-31_01_2025-03-27_ixbrl.htm,,25935.0,77580.0,51645.0
名古屋鉄道株式会社,9048,E04101,S100W4F4,208072.0,258418.0,50346.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04101-000_2025-03-31_01_2025-06-25_ixbrl.htm,,208072.0,258418.0,50346.0
倉敷紡績株式会社,3106,E00528,S100W3NJ,8486.0,57425.0,48939.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00528-000_2025-03-31_01_2025-06-24_ixbrl.htm,,8486.0,57425.0,48939.0
科研製薬株式会社,4521,E00935,S100W4L7,11245.0,59804.0,48559.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00935-000_2025-03-31_01_2025-06-26_ixbrl.htm,,11245.0,59804.0,48559.0
日本テレビホールディングス株式会社,9404,E04410,S100VZ6F,106183.0,154531.0,48348.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04410-000_2025-03-31_01_2025-06-26_ixbrl.htm,,106183.0,154531.0,48348.0
近鉄グループホールディングス株式会社,9041,E04102,S100VZTK,196288.0,242879.0,46591.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04102-000_2025-03-31_01_2025-06-19_ixbrl.htm,,196288.0,242879.0,46591.0
いちご株式会社,2337,E05314,S100VTII,154178.0,199566.0,45388.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E05314-000_2025-02-28_01_2025-05-26_ixbrl.htm,,154178.0,199566.0,45388.0
株式会社歌舞伎座,9661,E04606,S100VRE4,13099617.0,58308000.0,45208383.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04606-000_2025-02-28_01_2025-05-30_ixbrl.htm,,13099.617,58308.0,45208.383
東京建物株式会社,8804,E03859,S100VH0G,252591.0,297121.0,44530.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03859-000_2024-12-31_01_2025-03-26_ixbrl.htm,,252591.0,297121.0,44530.0
株式会社明電舎,6508,E01744,S100W34Y,10192.0,53352.0,43160.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E01744-000_2025-03-31_01_2025-06-24_ixbrl.htm,,10192.0,53352.0,43160.0
ＳＢＩアルヒ株式会社,7198,E33625,S100W2VW,3987.0,43595.0,39608.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E33625-000_2025-03-31_01_2025-06-23_ixbrl.htm,,3987.0,43595.0,39608.0
株式会社ニチレイ,2871,E00446,S100VYA0,9606.0,49096.0,39490.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00446-000_2025-03-31_01_2025-06-17_ixbrl.htm,,9606.0,49096.0,39490.0
西松建設株式会社,1820,E00060,S100W4Y9,129655.0,168102.0,38447.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00060-000_2025-03-31_01_2025-06-25_ixbrl.htm,,129655.0,168102.0,38447.0
戸田建設株式会社,1860,E00147,S100W4H2,139863.0,178245.0,38382.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00147-000_2025-03-31_01_2025-06-25_ixbrl.htm,,139863.0,178245.0,38382.0
小田急電鉄株式会社,9007,E04088,S100W2L1,87363.0,125356.0,37993.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04088-000_2025-03-31_01_2025-06-27_ixbrl.htm,,87363.0,125356.0,37993.0
大和工業株式会社,5444,E01259,S100W82O,10457.0,48330.0,37873.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E01259-000_2025-03-31_01_2025-06-30_ixbrl.htm,,10457.0,48330.0,37873.0
株式会社ＰＡＬＴＡＣ,8283,E02691,S100W05Z,1151966.0,1188097.0,36131.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E02691-000_2025-03-31_01_2025-06-20_ixbrl.htm,,1151966.0,1188097.0,36131.0
株式会社錢高組,1811,E00069,S100W3SK,20728.0,55996.0,35268.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00069-000_2025-03-31_01_2025-06-25_ixbrl.htm,,20728.0,55996.0,35268.0
東邦瓦斯株式会社,9533,E04517,S100W1IJ,15127.0,49025.0,33898.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04517-000_2025-03-31_01_2025-06-24_ixbrl.htm,,15127.0,49025.0,33898.0
株式会社クレディセゾン,8253,E03041,S100W4A7,168243.0,201766.0,33523.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03041-000_2025-03-31_01_2025-06-24_ixbrl.htm,,168243.0,201766.0,33523.0
帝人株式会社,3401,E00872,S100W4FO,11888.0,44910.0,33022.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00872-000_2025-03-31_01_2025-06-25_ixbrl.htm,,11888.0,44910.0,33022.0
安田倉庫株式会社,9324,E04290,S100W2MV,26518.0,59075.0,32557.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04290-000_2025-03-31_01_2025-06-24_ixbrl.htm,,26518.0,59075.0,32557.0
株式会社博報堂ＤＹホールディングス,2433,E05410,S100W2XD,15303.0,46521.0,31218.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E05410-000_2025-03-31_01_2025-06-26_ixbrl.htm,,15303.0,46521.0,31218.0
大成建設株式会社,1801,E00052,S100VY00,194886.0,225308.0,30422.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00052-000_2025-03-31_01_2025-06-17_ixbrl.htm,,194886.0,225308.0,30422.0
東映株式会社,9605,E04585,S100W3VP,46819.0,76193.0,29374.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04585-000_2025-03-31_01_2025-06-25_ixbrl.htm,,46819.0,76193.0,29374.0
萩原電気ホールディングス株式会社,7467,E02828,S100W84C,196126.0,225150.0,29024.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E02828-000_2025-03-31_01_2025-06-27_ixbrl.htm,,196126.0,225150.0,29024.0
高砂香料工業株式会社,4914,E00993,S100W3K4,864.0,29282.0,28418.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00993-000_2025-03-31_01_2025-06-25_ixbrl.htm,,864.0,29282.0,28418.0
三菱自動車工業株式会社,7211,E02213,S100VZMJ,145069.0,173360.0,28291.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E02213-000_2025-03-31_01_2025-06-18_ixbrl.htm,,145069.0,173360.0,28291.0
株式会社パン・パシフィック・インターナショナルホールディングス,7532,E03280,S100WR05,166182.0,193625.0,27443.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03280-000_2025-06-30_01_2025-09-25_ixbrl.htm,,166182.0,193625.0,27443.0
株式会社日新,9066,E04320,S100W2WJ,5258.0,32615.0,27357.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04320-000_2025-03-31_01_2025-06-24_ixbrl.htm,,5258.0,32615.0,27357.0
イオン北海道株式会社,7512,E03268,S100VS6W,19132.0,45184.0,26052.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03268-000_2025-02-28_01_2025-05-21_ixbrl.htm,,19132.0,45184.0,26052.0
株式会社オービック,4684,E05025,S100W1Y7,35609.0,61503.0,25894.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E05025-000_2025-03-31_01_2025-06-24_ixbrl.htm,,35609.0,61503.0,25894.0
神奈川中央交通株式会社,9081,E04158,S100W20C,36831.0,62303.0,25472.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04158-000_2025-03-31_01_2025-06-27_ixbrl.htm,,36831.0,62303.0,25472.0
小松ウオール工業株式会社,7949,E02408,S100W21J,18316.0,43551.0,25235.0,百万円,XBRL/PublicDoc/0105400_honbun_jpcrp030000-asr-001_E02408-000_2025-03-31_01_2025-06-25_ixbrl.htm,,18316.0,43551.0,25235.0
