企業名,証券コード,EDINETコード,docID,帳簿価額（元単位）,時価（元単位）,含み益（元単位）,元単位,ソースファイル,注記,帳簿価額_百万円,時価_百万円,含み益_百万円
株式会社ヤマダホールディングス,9831,E03139,S100W6TF,1589974.0,1592009.0,2035.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03139-000_2025-03-31_01_2025-06-26_ixbrl.htm,,1589974.0,1592009.0,2035.0
株式会社昭文社ホールディングス,9475,E00721,S100W7UR,971731.0,2972097.0,2000366.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00721-000_2025-03-31_01_2025-06-27_ixbrl.htm,,971.731,2972.097,2000.366
株式会社小林洋行,8742,E03723,S100W8GM,2226995.0,4211314.0,1984319.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03723-000_2025-03-31_01_2025-06-30_ixbrl.htm,,2226.995,4211.314,1984.319
大和冷機工業株式会社,6459,E01961,S100VJ3I,45969244.0,47938578.0,1969334.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01961-000_2024-12-31_01_2025-03-31_ixbrl.htm,,45969.244,47938.578,1969.334
株式会社山忠,391A,E40748,S100WFWF,2483191.0,4439313.0,1956122.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E40748-000_2025-04-30_01_2025-07-31_ixbrl.htm,,2483.1910000000003,4439.313,1956.122
東洋埠頭株式会社,9351,E04321,S100W18K,998.0,2944.0,1946.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04321-000_2025-03-31_01_2025-06-23_ixbrl.htm,,998.0,2944.0,1946.0
セントラル警備保障株式会社,9740,E04799,S100VURL,4130900.0,6074973.0,1944073.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04799-000_2025-02-28_01_2025-05-30_ixbrl.htm,,4130.9,6074.973,1944.073
ホウライ株式会社,9679,E04691,S100XAG9,2995263.0,4933602.0,1938339.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04691-000_2025-09-30_01_2025-12-16_ixbrl.htm,,2995.263,4933.602,1938.339
六甲バター株式会社,2266,E00337,S100VGZG,42358756.0,44296190.0,1937434.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00337-000_2024-12-31_01_2025-03-27_ixbrl.htm,,42358.756,44296.19,1937.434
ライト工業株式会社,1926,E00098,S100W576,8126.0,10054.0,1928.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00098-000_2025-03-31_01_2025-06-26_ixbrl.htm,,8126.0,10054.0,1928.0
株式会社アンビションＤＸホールディングス,3300,E30880,S100WQFJ,6368804.0,8293653.0,1924849.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E30880-000_2025-06-30_01_2025-09-24_ixbrl.htm,,6368.804,8293.653,1924.849
セイコーエプソン株式会社,6724,E01873,S100W55U,1110.0,3029.0,1919.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01873-000_2025-03-31_01_2025-06-25_ixbrl.htm,,1110.0,3029.0,1919.0
燦ホールディングス株式会社,9628,E04895,S100W6NE,2572.0,4489.0,1917.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04895-000_2025-03-31_01_2025-06-26_ixbrl.htm,,2572.0,4489.0,1917.0
東亞合成株式会社,4045,E00770,S100VHCL,157475.0,159371.0,1896.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00770-000_2024-12-31_01_2025-03-28_ixbrl.htm,,157475.0,159371.0,1896.0
川辺株式会社,8123,E02650,S100W5RR,1710429.0,3560187.0,1849758.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02650-000_2025-03-31_01_2025-06-26_ixbrl.htm,,1710.429,3560.187,1849.758
中部飼料株式会社,2053,E00439,S100VZJW,530.0,2376.0,1846.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00439-000_2025-03-31_01_2025-06-23_ixbrl.htm,,530.0,2376.0,1846.0
株式会社ハローズ,2742,E03395,S100VUO3,14532.0,16361.0,1829.0,百万円,XBRL/PublicDoc/0105400_honbun_jpcrp030000-asr-001_E03395-000_2025-02-28_01_2025-05-30_ixbrl.htm,,14532.0,16361.0,1829.0
日本ロジテム株式会社,9060,E04206,S100W969,61153595.0,62972760.0,1819165.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04206-000_2025-03-31_01_2025-06-30_ixbrl.htm,,61153.595,62972.76,1819.165
テクノホライゾン株式会社,6629,E23871,S100W8WL,12512160.0,14323158.0,1810998.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E23871-000_2025-03-31_01_2025-06-27_ixbrl.htm,,12512.16,14323.158,1810.998
株式会社マリオン,3494,E34271,S100XAPZ,2773460.0,4575718.0,1802258.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E34271-000_2025-09-30_01_2025-12-18_ixbrl.htm,,2773.46,4575.718,1802.258
ダイダン株式会社,1980,E00194,S100W6MU,368.0,2166.0,1798.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E00194-000_2025-03-31_01_2025-06-27_ixbrl.htm,,368.0,2166.0,1798.0
株式会社　東　祥,8920,E04018,S100W0M0,12513437.0,14304929.0,1791492.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04018-000_2025-03-31_01_2025-06-26_ixbrl.htm,,12513.437,14304.929,1791.492
ＪＫホールディングス株式会社,9896,E02732,S100W1Y4,7467.0,9240.0,1773.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E02732-000_2025-03-31_01_2025-06-25_ixbrl.htm,,7467.0,9240.0,1773.0
株式会社ＬＩＸＩＬ,5938,E01317,S100VYMK,2406.0,4149.0,1743.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01317-000_2025-03-31_01_2025-06-18_ixbrl.htm,,2406.0,4149.0,1743.0
株式会社ムサシ,7521,E02855,S100W80R,1280.0,3003.0,1723.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E02855-000_2025-03-31_01_2025-06-30_ixbrl.htm,,1280.0,3003.0,1723.0
月島ホールディングス株式会社,6332,E01537,S100W02L,21651.0,23349.0,1698.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E01537-000_2025-03-31_01_2025-06-23_ixbrl.htm,,21651.0,23349.0,1698.0
アズマハウス株式会社,3293,E30066,S100W4QL,21320681.0,22999147.0,1678466.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E30066-000_2025-03-31_01_2025-06-27_ixbrl.htm,,21320.681,22999.147,1678.4660000000001
株式会社　鳥取銀行,8383,E03582,S100W213,14646.0,16324.0,1678.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03582-000_2025-03-31_01_2025-06-24_ixbrl.htm,,14646.0,16324.0,1678.0
株式会社ユカリア,286A,E12328,S100VGY6,15306992.0,16984597.0,1677605.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E12328-000_2024-12-31_01_2025-03-28_ixbrl.htm,,15306.992,16984.597,1677.605
新田ゼラチン株式会社,4977,E26061,S100W0TF,38745.0,40420.0,1675.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E26061-000_2025-03-31_01_2025-06-23_ixbrl.htm,,38745.0,40420.0,1675.0
株式会社オータケ,7434,E02803,S100WLHT,997427.0,2670164.0,1672737.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E02803-000_2025-05-31_01_2025-08-28_ixbrl.htm,,997.427,2670.164,1672.737
株式会社山陰合同銀行,8381,E03583,S100W06A,17262.0,18930.0,1668.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03583-000_2025-03-31_01_2025-06-20_ixbrl.htm,,17262.0,18930.0,1668.0
株式会社大庄,9979,E03223,S100X5DP,4268.0,5928.0,1660.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03223-000_2025-08-31_01_2025-11-25_ixbrl.htm,,4268.0,5928.0,1660.0
株式会社コメ兵ホールディングス,2780,E03416,S100W3LG,2257704.0,3917182.0,1659478.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03416-000_2025-03-31_01_2025-06-24_ixbrl.htm,,2257.704,3917.1820000000002,1659.478
中日本鋳工株式会社,6439,E01277,S100W6DS,2006349.0,3665142.0,1658793.0,千円,XBRL/PublicDoc/0105400_honbun_jpcrp030000-asr-001_E01277-000_2025-03-31_01_2025-06-26_ixbrl.htm,,2006.349,3665.1420000000003,1658.7930000000001
ＳＷＣＣ株式会社,5805,E01336,S100W4C3,50238.0,51885.0,1647.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01336-000_2025-03-31_01_2025-06-24_ixbrl.htm,,50238.0,51885.0,1647.0
株式会社ラクーンホールディングス,3031,E05563,S100WE54,4163227.0,5808066.0,1644839.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E05563-000_2025-04-30_01_2025-07-23_ixbrl.htm,,4163.227,5808.066,1644.839
株式会社アミューズ,4301,E05219,S100W907,2025.0,3665.0,1640.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E05219-000_2025-03-31_01_2025-06-30_ixbrl.htm,,2025.0,3665.0,1640.0
株式会社三井ハイテック,6966,E02293,S100VN2Y,68.0,1680.0,1612.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E02293-000_2025-01-31_01_2025-04-21_ixbrl.htm,,68.0,1680.0,1612.0
株式会社ウィル,3241,E04068,S100VHW9,3208.0,4819.0,1611.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04068-000_2024-12-31_01_2025-03-28_ixbrl.htm,,3208.0,4819.0,1611.0
石塚硝子株式会社,5204,E01123,S100VXZF,5634.0,7236.0,1602.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E01123-000_2025-03-20_01_2025-06-17_ixbrl.htm,,5634.0,7236.0,1602.0
株式会社コナカ,7494,E03259,S100XC1F,3625.0,5206.0,1581.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03259-000_2025-09-30_01_2025-12-23_ixbrl.htm,,3625.0,5206.0,1581.0
東海運株式会社,9380,E04329,S100W2BM,4316387.0,5887864.0,1571477.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04329-000_2025-03-31_01_2025-06-27_ixbrl.htm,,4316.387,5887.8640000000005,1571.477
